Date,Volatility Return for All day,All Data ZScore,Current Data (Previous 2 weeks) ZScore
2024-12-23,8.75,-0.1883425163089461,0.835845158778773
2024-12-24,4.5,-0.9422786881320806,-0.6827132212925855
2024-12-25,3.25,-1.164024621021238,-1.129348038960632
2024-12-26,8.0,-0.32139007604244046,0.567864268177945
2024-12-27,5.75,-0.7205327552429234,-0.23607840362453889
2024-12-29,1.5,-1.474468927066058,-1.7546367836958974
2024-12-30,11.0,0.21080016289153686,1.639787830581257
2024-12-31,7.75,-0.3657392626202719,0.4785373046443357
2025-01-01,3.25,-1.164024621021238,-1.129348038960632
2025-01-02,8.5,-0.23269170288677757,0.7465181952451637
2025-01-03,7.25,-0.45443763577593477,0.2998833775771171
2025-01-05,3.5,-1.1196754344434063,-1.0400210754270227
2025-01-06,7.5,-0.41008844919810333,0.3892103411107264
2025-01-07,9.25,-0.09964414315328324,1.0144990858459917
